exp_id	phase	description	model	seed	metric	value	ci_low	ci_high	status	notes
RV03_K5_residual_25pct_tau8.0	2.75	Final-well occupation: K5_residual_25pct at tau=8.0	Brownian-dynamics-with-occupation	42	occupation_right	0.1100	NA	NA	RUN_RV	knobs=(0.0, 0.0, 0.0, 6.0, 0.25), bits_erased_per_cycle=0.500
RV03_K5_residual_25pct_tau16.0	2.75	Final-well occupation: K5_residual_25pct at tau=16.0	Brownian-dynamics-with-occupation	42	occupation_right	0.2125	NA	NA	RUN_RV	knobs=(0.0, 0.0, 0.0, 6.0, 0.25), bits_erased_per_cycle=0.254
RV03_K5_residual_50pct_tau4.0	2.75	Final-well occupation: K5_residual_50pct at tau=4.0	Brownian-dynamics-with-occupation	42	occupation_right	0.1675	NA	NA	RUN_RV	knobs=(0.0, 0.0, 0.0, 6.0, 0.5), bits_erased_per_cycle=0.348
RV03_K5_residual_50pct_tau8.0	2.75	Final-well occupation: K5_residual_50pct at tau=8.0	Brownian-dynamics-with-occupation	42	occupation_right	0.0425	NA	NA	RUN_RV	knobs=(0.0, 0.0, 0.0, 6.0, 0.5), bits_erased_per_cycle=0.746
RV03_K5_residual_50pct_tau16.0	2.75	Final-well occupation: K5_residual_50pct at tau=16.0	Brownian-dynamics-with-occupation	42	occupation_right	0.0075	NA	NA	RUN_RV	knobs=(0.0, 0.0, 0.0, 6.0, 0.5), bits_erased_per_cycle=0.936
RV03_K4_weak_tilt_tau4.0	2.75	Final-well occupation: K4_weak_tilt at tau=4.0	Brownian-dynamics-with-occupation	42	occupation_right	0.2975	NA	NA	RUN_RV	knobs=(0.0, 0.0, 0.0, 4.0, 0.0), bits_erased_per_cycle=0.122
RV03_K4_weak_tilt_tau8.0	2.75	Final-well occupation: K4_weak_tilt at tau=8.0	Brownian-dynamics-with-occupation	42	occupation_right	0.3850	NA	NA	RUN_RV	knobs=(0.0, 0.0, 0.0, 4.0, 0.0), bits_erased_per_cycle=0.039
RV03_K4_weak_tilt_tau16.0	2.75	Final-well occupation: K4_weak_tilt at tau=16.0	Brownian-dynamics-with-occupation	42	occupation_right	0.4600	NA	NA	RUN_RV	knobs=(0.0, 0.0, 0.0, 4.0, 0.0), bits_erased_per_cycle=0.005
RV03_K4_strong_tilt_tau4.0	2.75	Final-well occupation: K4_strong_tilt at tau=4.0	Brownian-dynamics-with-occupation	42	occupation_right	0.2125	NA	NA	RUN_RV	knobs=(0.0, 0.0, 0.0, 8.0, 0.0), bits_erased_per_cycle=0.254
RV03_K4_strong_tilt_tau8.0	2.75	Final-well occupation: K4_strong_tilt at tau=8.0	Brownian-dynamics-with-occupation	42	occupation_right	0.3425	NA	NA	RUN_RV	knobs=(0.0, 0.0, 0.0, 8.0, 0.0), bits_erased_per_cycle=0.073
RV03_K4_strong_tilt_tau16.0	2.75	Final-well occupation: K4_strong_tilt at tau=16.0	Brownian-dynamics-with-occupation	42	occupation_right	0.4450	NA	NA	RUN_RV	knobs=(0.0, 0.0, 0.0, 8.0, 0.0), bits_erased_per_cycle=0.009
RV03_adversarial_tau4.0	2.75	Final-well occupation: adversarial at tau=4.0	Brownian-dynamics-with-occupation	42	occupation_right	0.3325	NA	NA	RUN_RV	knobs=(1.0, 1.0, 0.0, 4.0, 0.5), bits_erased_per_cycle=0.083
RV03_adversarial_tau8.0	2.75	Final-well occupation: adversarial at tau=8.0	Brownian-dynamics-with-occupation	42	occupation_right	0.1600	NA	NA	RUN_RV	knobs=(1.0, 1.0, 0.0, 4.0, 0.5), bits_erased_per_cycle=0.366
RV03_adversarial_tau16.0	2.75	Final-well occupation: adversarial at tau=16.0	Brownian-dynamics-with-occupation	42	occupation_right	0.0575	NA	NA	RUN_RV	knobs=(1.0, 1.0, 0.0, 4.0, 0.5), bits_erased_per_cycle=0.683
RV03_best_guess_optimised_tau4.0	2.75	Final-well occupation: best_guess_optimised at tau=4.0	Brownian-dynamics-with-occupation	42	occupation_right	0.1200	NA	NA	RUN_RV	knobs=(0.7, 0.7, 0.2, 7.0, 0.1), bits_erased_per_cycle=0.471
RV03_best_guess_optimised_tau8.0	2.75	Final-well occupation: best_guess_optimised at tau=8.0	Brownian-dynamics-with-occupation	42	occupation_right	0.2125	NA	NA	RUN_RV	knobs=(0.7, 0.7, 0.2, 7.0, 0.1), bits_erased_per_cycle=0.254
RV03_best_guess_optimised_tau16.0	2.75	Final-well occupation: best_guess_optimised at tau=16.0	Brownian-dynamics-with-occupation	42	occupation_right	0.3250	NA	NA	RUN_RV	knobs=(0.7, 0.7, 0.2, 7.0, 0.1), bits_erased_per_cycle=0.090
RV04_nsteps200	2.75	dt-convergence: baseline tau=4 at n_steps=200	Brownian-dynamics-quartic	42	W_per_cycle_kBT	12.8044	12.1967	13.4122	RUN_RV	converged at n_steps=800 vs 3200: True
RV04_nsteps400	2.75	dt-convergence: baseline tau=4 at n_steps=400	Brownian-dynamics-quartic	42	W_per_cycle_kBT	11.6806	11.1048	12.2565	RUN_RV	converged at n_steps=800 vs 3200: True
RV04_nsteps800	2.75	dt-convergence: baseline tau=4 at n_steps=800	Brownian-dynamics-quartic	42	W_per_cycle_kBT	11.3603	10.7534	11.9673	RUN_RV	converged at n_steps=800 vs 3200: True
RV04_nsteps1600	2.75	dt-convergence: baseline tau=4 at n_steps=1600	Brownian-dynamics-quartic	42	W_per_cycle_kBT	11.1916	10.6271	11.7561	RUN_RV	converged at n_steps=800 vs 3200: True
RV04_nsteps3200	2.75	dt-convergence: baseline tau=4 at n_steps=3200	Brownian-dynamics-quartic	42	W_per_cycle_kBT	11.6222	11.0207	12.2237	RUN_RV	converged at n_steps=800 vs 3200: True
